,comapny_name,company_rating,company_type,head_quarters,No_of_Employee
165,Randstad,3.9,Recruitment,Chennai,5k-10k Employees
166,Thermax Limited,4.2,Industrial Machinery,Pune,1k-5k Employees
167,Hetero Drugs,3.8,Pharma,Hyderabad/Secunderabad,1k-5k Employees
168,Havells,4.1,Electrical Equipment,Noida,5k-10k Employees
169,Macleods Pharmaceuticals,3.7,Pharma,Mumbai,10k-50k Employees
170,Deutsche Bank,4.1,Banking,Frankfurt,10k-50k Employees
171,CARS24,3.6,Internet,Gurgaon,5k-10k Employees
172,Sodexo,4.1,Facility Management Services,Issy les Moulineaux,10k-50k Employees
173,Whitehat jr,3.5,EdTech,Mumbai,5k-10k Employees
174,Subros,3.9,Auto Components,Noida,1k-5k Employees
175,Abbott Healthcare,4.1,Pharma,Illinois City,10k-50k Employees
176,Team Lease,3.9,Recruitment,Bangalore/Bengaluru,1k-5k Employees
177,VE Commercial Vehicles,4.0,Automobile,Gurgaon/Gurugram,1k-5k Employees
178,Ford Motor,4.4,Automobile,Dearborn,5k-10k Employees
179,Indian Oil Corporation,4.4,Oil & Gas,Delhi/NCR,10k-50k Employees
